Registers with different behaviour
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x0f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x1f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x2f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x3f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x4f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x5f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x6f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xaa42
